timestamp,op,hi,lo,cl,volume,fee
2018-09-05 08:00:00+00:00,818724,818724,818724,818724,0.01,0
2018-09-05 08:15:00+00:00,821250,821250,821250,821250,0.01,0
2018-09-05 08:45:00+00:00,819260,819765,819260,819765,0.03,0
2018-09-05 09:00:00+00:00,820000,821388,819500,819546,1.22,0
2018-09-05 09:15:00+00:00,820441,821530,819646,820244,14.77,0
2018-09-05 09:30:00+00:00,820286,820286,819500,819500,0.8,0
2018-09-05 09:45:00+00:00,819001,819001,794358,794444,9.82,0
2018-09-05 10:00:00+00:00,795000,802465,794121,796768,7.77,0
2018-09-05 10:15:00+00:00,797048,800000,793256,796001,28.02,0
2018-09-05 10:30:00+00:00,798000,800000,797214,799875,4.07,0
2018-09-05 10:45:00+00:00,798000,799734,625723,778577,94.25,0
2018-09-05 11:00:00+00:00,750030,783599,750030,781388,6.3,0
2018-09-05 11:15:00+00:00,782422,783599,779965,782125,12.1,0
2018-09-05 11:30:00+00:00,782125,782313,776363,777000,8.72,0
2018-09-05 11:45:00+00:00,777000,783336,773239,780500,7.37,0
2018-09-05 12:00:00+00:00,782000,782000,780500,781999,3.61,0
2018-09-05 12:15:00+00:00,781999,785100,780369,780369,2.67,0
2018-09-05 12:30:00+00:00,784200,784200,782438,782438,4.33,0
2018-09-05 12:45:00+00:00,780000,782000,778200,779881,2.91,0
2018-09-05 13:00:00+00:00,779500,781559,777714,781559,1.13,0
2018-09-05 13:15:00+00:00,781104,784575,778792,784067,4.15,0
2018-09-05 13:30:00+00:00,783100,785463,780812,782400,5.02,0
2018-09-05 13:45:00+00:00,783000,788251,783000,786077,0.81,0
2018-09-05 14:00:00+00:00,786077,786507,784171,784550,1.39,0
2018-09-05 14:15:00+00:00,783669,784500,783033,784500,2.1,0
2018-09-05 14:30:00+00:00,784500,785378,782850,782850,1.13,0
2018-09-05 14:45:00+00:00,780283,783928,780245,781779,3.38,0
2018-09-05 15:00:00+00:00,781755,783774,781755,783774,0.04,0
2018-09-05 15:15:00+00:00,780620,782963,780100,782062,20.49,0
2018-09-05 15:30:00+00:00,781250,781560,779500,779500,0.64,0
2018-09-05 15:45:00+00:00,778162,782554,775128,779690,3.06,0
2018-09-05 16:00:00+00:00,780908,782563,779821,782466,2.1,0
2018-09-05 16:15:00+00:00,780036,780036,777354,777354,0.44,0
2018-09-05 16:30:00+00:00,779000,780819,779000,780819,0.21,0
2018-09-05 16:45:00+00:00,777000,777788,770100,774431,6.11,0
2018-09-05 17:00:00+00:00,774045,775322,770000,772450,2.1,0
2018-09-05 17:15:00+00:00,772436,772889,771591,771855,0.18,0
2018-09-05 17:30:00+00:00,772000,773071,771530,773071,1.3,0
2018-09-05 17:45:00+00:00,772568,772568,771481,771481,0.5,0
2018-09-05 18:00:00+00:00,774170,775257,774170,775257,0.5,0
2018-09-05 18:15:00+00:00,772877,772877,771790,771790,1,0
2018-09-05 19:15:00+00:00,768479,768479,768479,768479,0.2,0
2018-09-05 19:30:00+00:00,771490,771490,771490,771490,2,0
2018-09-05 19:45:00+00:00,770090,770090,770090,770090,0.01,0
2018-09-05 20:15:00+00:00,772501,776358,771414,776358,3.1,0
2018-09-05 20:30:00+00:00,774818,776212,772669,772669,2.7,0
2018-09-05 20:45:00+00:00,774781,774781,774781,774781,0.1,0
2018-09-05 21:00:00+00:00,775000,775483,774800,775175,0.27,0
2018-09-05 21:15:00+00:00,778641,778808,778641,778808,0.51,0
