<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.03	00:00:00	1149.71	1156.73	1149.36	1156.05	10583	0	40
2017.01.03	04:00:00	1156.13	1158.63	1154.84	1157.70	10460	0	40
2017.01.03	08:00:00	1157.70	1158.59	1147.52	1148.05	23454	0	40
2017.01.03	12:00:00	1148.03	1151.21	1145.92	1150.55	22815	0	40
2017.01.03	16:00:00	1150.60	1164.21	1146.63	1161.87	44681	0	40
2017.01.03	20:00:00	1161.91	1163.42	1156.58	1158.49	16891	0	40
2017.01.04	00:00:00	1157.92	1159.15	1156.02	1157.35	9698	0	40
2017.01.04	04:00:00	1157.36	1161.52	1157.35	1161.39	15167	0	40
2017.01.04	08:00:00	1161.38	1167.80	1160.66	1165.26	22188	0	40
2017.01.04	12:00:00	1165.27	1167.77	1162.92	1164.11	26732	0	40
2017.01.04	16:00:00	1164.11	1167.15	1162.00	1164.80	30299	0	40
2017.01.04	20:00:00	1164.79	1166.64	1160.54	1162.96	19194	0	40
2017.01.05	00:00:00	1163.11	1172.84	1162.82	1171.18	14505	0	40
2017.01.05	04:00:00	1171.16	1177.44	1170.78	1175.05	20706	0	40
2017.01.05	08:00:00	1175.01	1179.21	1170.41	1172.69	30476	0	40
2017.01.05	12:00:00	1172.76	1176.56	1170.33	1175.51	29751	0	40
2017.01.05	16:00:00	1175.51	1184.91	1175.03	1181.88	44018	0	40
2017.01.05	20:00:00	1181.91	1182.20	1179.58	1179.84	16991	0	40
2017.01.06	00:00:00	1179.72	1181.27	1176.61	1177.37	11832	0	40
2017.01.06	04:00:00	1177.40	1181.90	1175.30	1176.16	19577	0	40
2017.01.06	08:00:00	1176.16	1178.52	1173.64	1178.08	20989	0	40
2017.01.06	12:00:00	1178.17	1182.44	1171.50	1173.48	29543	0	40
2017.01.06	16:00:00	1173.51	1179.05	1171.02	1173.83	37261	0	40
2017.01.06	20:00:00	1173.83	1174.51	1170.80	1172.30	14058	0	40
2017.01.09	00:00:00	1171.67	1175.86	1171.52	1175.39	7697	0	40
2017.01.09	04:00:00	1175.37	1176.50	1172.81	1173.53	14747	0	40
2017.01.09	08:00:00	1173.54	1178.50	1172.83	1175.88	26806	0	40
2017.01.09	12:00:00	1175.88	1181.64	1175.26	1180.50	27906	0	40
2017.01.09	16:00:00	1180.50	1184.03	1177.38	1182.60	37043	0	40
2017.01.09	20:00:00	1182.58	1186.03	1180.11	1180.37	12296	0	40
2017.01.10	00:00:00	1180.32	1183.40	1180.25	1180.95	10400	0	40
2017.01.10	04:00:00	1180.95	1187.14	1180.07	1186.24	17000	0	40
2017.01.10	08:00:00	1186.16	1187.49	1182.59	1183.89	18597	0	40
2017.01.10	12:00:00	1183.92	1185.92	1180.93	1184.13	18468	0	40
2017.01.10	16:00:00	1184.13	1190.48	1181.94	1184.09	39789	0	40
2017.01.10	20:00:00	1184.12	1188.00	1183.01	1187.42	12718	0	40
2017.01.11	00:00:00	1187.80	1189.02	1185.52	1187.81	7822	0	40
2017.01.11	04:00:00	1187.85	1188.99	1186.12	1188.98	15460	0	40
2017.01.11	08:00:00	1188.98	1191.17	1187.16	1188.36	21408	0	40
2017.01.11	12:00:00	1188.36	1190.10	1186.85	1187.87	22872	0	40
2017.01.11	16:00:00	1187.88	1189.50	1177.06	1188.57	49796	0	40
2017.01.11	20:00:00	1188.57	1198.13	1188.18	1191.46	28979	0	40
2017.01.12	00:00:00	1190.53	1195.84	1190.38	1195.22	12501	0	40
2017.01.12	04:00:00	1195.19	1198.65	1195.07	1198.41	19567	0	40
2017.01.12	08:00:00	1198.42	1206.81	1197.83	1205.29	26292	0	40
2017.01.12	12:00:00	1205.28	1206.42	1200.17	1200.95	27406	0	40
2017.01.12	16:00:00	1200.94	1205.80	1199.56	1200.00	38446	0	40
2017.01.12	20:00:00	1200.02	1200.53	1194.19	1195.24	19333	0	40
2017.01.13	00:00:00	1192.91	1196.51	1192.72	1193.13	12515	0	40
2017.01.13	04:00:00	1193.22	1194.28	1191.15	1193.70	13521	0	40
2017.01.13	08:00:00	1193.77	1197.75	1193.25	1196.91	21075	0	40
2017.01.13	12:00:00	1196.91	1200.80	1195.69	1196.24	22775	0	40
2017.01.13	16:00:00	1196.31	1197.19	1187.80	1196.22	42715	0	40
2017.01.13	20:00:00	1196.28	1199.21	1194.89	1197.21	13554	0	40
2017.01.16	00:00:00	1199.01	1204.93	1198.00	1201.25	10525	0	40
2017.01.16	04:00:00	1201.24	1204.23	1200.53	1203.83	17107	0	40
2017.01.16	08:00:00	1203.82	1208.45	1201.05	1202.03	23280	0	40
2017.01.16	12:00:00	1202.00	1204.47	1201.30	1202.70	12765	0	40
2017.01.16	16:00:00	1202.74	1204.23	1201.64	1202.63	12939	0	40
2017.01.17	00:00:00	1202.64	1205.15	1202.36	1203.70	9940	0	40
2017.01.17	04:00:00	1203.62	1212.16	1203.58	1211.71	22522	0	40
2017.01.17	08:00:00	1211.73	1217.83	1209.40	1216.76	29095	0	40
2017.01.17	12:00:00	1216.78	1218.71	1210.53	1216.29	36270	0	40
2017.01.17	16:00:00	1216.23	1217.11	1211.87	1213.11	38192	0	40
2017.01.17	20:00:00	1213.11	1217.00	1212.36	1216.72	10931	0	40
2017.01.18	00:00:00	1217.51	1217.57	1212.88	1214.39	10466	0	40
2017.01.18	04:00:00	1214.40	1215.88	1210.90	1212.03	11433	0	40
2017.01.18	08:00:00	1212.08	1213.97	1209.93	1213.91	11991	0	40
2017.01.18	12:00:00	1213.90	1214.68	1211.20	1213.27	12730	0	40
2017.01.18	16:00:00	1213.28	1216.39	1212.45	1212.55	17385	0	40
2017.01.18	20:00:00	1212.58	1212.72	1202.20	1203.82	13219	0	40
2017.01.19	00:00:00	1202.14	1205.07	1197.48	1198.51	12094	0	40
2017.01.19	04:00:00	1198.43	1203.50	1198.08	1202.32	9131	0	40
2017.01.19	08:00:00	1202.31	1205.67	1198.10	1204.17	14619	0	40
2017.01.19	12:00:00	1204.17	1205.74	1199.56	1201.46	17856	0	40
2017.01.19	16:00:00	1201.47	1202.93	1195.73	1199.90	28146	0	40
2017.01.19	20:00:00	1199.87	1206.34	1198.87	1204.49	12684	0	40
2017.01.20	00:00:00	1204.69	1207.89	1202.44	1207.38	9069	0	40
2017.01.20	04:00:00	1207.34	1208.23	1205.63	1206.58	7341	0	40
2017.01.20	08:00:00	1206.58	1208.90	1200.43	1201.27	12865	0	40
2017.01.20	12:00:00	1201.24	1203.81	1198.42	1203.77	13891	0	40
2017.01.20	16:00:00	1203.76	1207.30	1199.69	1205.16	30631	0	40
2017.01.20	20:00:00	1205.16	1214.80	1203.68	1208.93	16845	0	40
2017.01.23	00:00:00	1208.50	1217.76	1208.50	1217.70	11284	0	40
2017.01.23	04:00:00	1217.75	1219.37	1213.63	1216.43	12273	0	40
2017.01.23	08:00:00	1216.48	1217.38	1210.35	1211.93	13482	0	40
2017.01.23	12:00:00	1211.93	1215.39	1211.14	1214.16	13363	0	40
2017.01.23	16:00:00	1214.16	1219.06	1209.15	1214.91	28411	0	40
2017.01.23	20:00:00	1214.94	1218.07	1214.17	1217.86	8440	0	40
2017.01.24	00:00:00	1217.86	1219.98	1215.97	1216.86	8204	0	40
2017.01.24	04:00:00	1216.77	1218.42	1215.04	1215.92	7816	0	40
2017.01.24	08:00:00	1215.90	1216.33	1212.08	1212.85	11334	0	40
2017.01.24	12:00:00	1212.88	1214.57	1211.54	1213.43	15521	0	40
2017.01.24	16:00:00	1213.49	1217.61	1211.41	1212.47	32344	0	40
