<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.03	01:00:00	1149.71	1152.32	1149.44	1150.17	1229	0	40
2017.01.03	01:30:00	1150.17	1150.45	1149.36	1150.25	1605	0	40
2017.01.03	02:00:00	1150.25	1151.57	1149.78	1150.22	2046	0	40
2017.01.03	02:30:00	1150.22	1150.89	1149.59	1150.72	1594	0	40
2017.01.03	03:00:00	1150.82	1156.08	1150.32	1155.09	2199	0	40
2017.01.03	03:30:00	1155.06	1156.73	1154.89	1156.05	1910	0	40
2017.01.03	04:00:00	1156.13	1158.63	1154.84	1158.13	1772	0	40
2017.01.03	04:30:00	1158.22	1158.37	1156.51	1157.10	1594	0	40
2017.01.03	05:00:00	1157.07	1157.29	1155.93	1156.72	1387	0	40
2017.01.03	05:30:00	1156.72	1157.08	1156.39	1156.77	735	0	40
2017.01.03	06:00:00	1156.77	1157.44	1156.65	1156.76	1084	0	40
2017.01.03	06:30:00	1156.76	1157.37	1156.72	1157.30	1042	0	40
2017.01.03	07:00:00	1157.30	1157.35	1156.57	1156.89	1099	0	40
2017.01.03	07:30:00	1156.89	1157.92	1156.78	1157.70	1747	0	40
2017.01.03	08:00:00	1157.70	1158.30	1157.51	1158.00	1333	0	40
2017.01.03	08:30:00	1158.01	1158.59	1157.00	1157.40	1495	0	40
2017.01.03	09:00:00	1157.40	1157.41	1152.15	1152.56	3295	0	40
2017.01.03	09:30:00	1152.52	1153.55	1152.31	1152.99	2582	0	40
2017.01.03	10:00:00	1152.95	1154.36	1150.90	1151.55	3776	0	40
2017.01.03	10:30:00	1151.54	1152.45	1150.43	1151.42	3399	0	40
2017.01.03	11:00:00	1151.43	1151.84	1150.00	1150.20	3509	0	40
2017.01.03	11:30:00	1150.22	1150.28	1147.52	1148.05	4065	0	40
2017.01.03	12:00:00	1148.03	1148.51	1146.73	1147.75	3307	0	40
2017.01.03	12:30:00	1147.79	1148.40	1146.60	1146.71	2064	0	40
2017.01.03	13:00:00	1146.68	1148.24	1145.92	1146.51	2910	0	40
2017.01.03	13:30:00	1146.52	1148.70	1146.39	1148.50	2622	0	40
2017.01.03	14:00:00	1148.48	1148.91	1147.70	1147.78	2615	0	40
2017.01.03	14:30:00	1147.78	1148.67	1147.15	1148.60	2738	0	40
2017.01.03	15:00:00	1148.60	1151.21	1148.41	1149.35	4247	0	40
2017.01.03	15:30:00	1149.35	1150.75	1149.35	1150.55	2312	0	40
2017.01.03	16:00:00	1150.60	1150.85	1146.63	1150.44	3236	0	40
2017.01.03	16:30:00	1150.53	1155.44	1150.41	1153.79	5424	0	40
2017.01.03	17:00:00	1153.79	1153.79	1147.75	1150.63	7768	0	40
